REPORT_RECEIVED_DATE,IYEAR,REPORT_TYPE,OPERATOR_ID,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_DATETIME,RESTART_DATETIME,IGNITE_IND,UPSTREAM_ACTION_TAKEN,ON_OFF_SHORE,LOCATION_TYPE,INCIDENT_AREA_TYPE,INCIDENT_AREA_SUBTYPE,DEPTH_OF_COVER,CROSSING,SYSTEM_PART_INVOLVED,ITEM_INVOLVED,PIPE_DIAMETER,PIPE_MANUFACTURER,COATING,COATING_APPLIED_IND,INSTALLATION_YEAR,MANUFACTURED_YEAR,MATERIAL_INVOLVED,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,CLASS_LOCATION_TYPE,COULD_BE_HCA,PIR_RADIUS,HEAT_DAMAGE_IND,EST_COST_OPER_PAID,EST_COST_UNINTENTIONAL_RELEASE,EST_COST_INTENTIONAL_RELEASE,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,GAS_COST_IN_MCF,PRPTY,NUM_PERSONS_HOSP_NOT_OVNGHT,NUM_INJURED_TREATED_BY_EMT,NUM_RESIDENT_BUILDING_AFFCTD,NUM_BUSINESS_BUILDING_AFFCTD,WILDLIFE_IMPACT_IND,ACCIDENT_PSIG,GAS_FLOW_IN_PIPE_IN_MCF,MOP_PSIG,ACCIDENT_PRESSURE,PIPELINE_FUNCTION,ACCIDENT_IDENTIFIER,INVESTIGATION_STATUS,CAUSE,CAUSE_DETAILS,INCIDENT
3/21/2023,2023,ORIGINAL FINAL,31130,DCP MIDSTREAM,HOUSTON,TX,NATURAL GAS,4090,0,NO,0,NO,0,YES,2/20/2023 15:20,3/3/2023 10:16,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,12,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,14,UNKNOWN,COLD APPLIED TAPE,UNKNOWN,1968,UNKNOWN,CARBON STEEL,MECHANICAL PUNCTURE,1.5,3.2,,CLASS 1 LOCATION,NO,371,NO,0,37055,0,4000,0,9.06,41055,0,0,0,0,NO,550,24442,1000,PRESSURE DID NOT EXCEED MAOP,TYPE C GATHERING,NOTIFICATION FROM THIRD PARTY THAT CAUSED THE INCIDENT,"NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,1
3/15/2023,2023,SUPPLEMENTAL FINAL,602,"ENABLE GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,75,0,NO,0,NO,0,NO,,,YES,OPERATIONAL CONTROL,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,36,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,4,UNKNOWN,COAL TAR,NO,1966,UNKNOWN,CARBON STEEL,LEAK,,,OTHER,CLASS 1 LOCATION,YES,93,NO,0,179,0,54920,95080,2.38,150979,0,0,0,0,NO,300,100,893,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM EMERGENCY RESPONDER,"NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",NATURAL FORCE DAMAGE,LIGHTNING,1
3/14/2023,2023,ORIGINAL,31728,"GULF SOUTH PIPELINE COMPANY, LLC",HOUSTON,TX,NATURAL GAS,20960,0,NO,0,NO,0,YES,2/12/2023 5:40,2/12/2023 11:08,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,64,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES","WELD/FUSION, INCLUDING HEAT-AFFECTED ZONE",20,YOUNGSTOWN STEEL,COAL TAR,UNKNOWN,1952,1952,CARBON STEEL,RUPTURE,,,,CLASS 1 LOCATION,NO,308,NO,0,65186,0,1023950,8000,3.11,1102136,0,0,215,0,NO,400,10000,475,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",OTHER INCIDENT CAUSE,MISCELLANEOUS,1
3/2/2023,2023,SUPPLEMENTAL FINAL,31604,EQUITRANS MIDSTREAM CORPORATION,CANONSBURG,PA,NATURAL GAS,4610,0,NO,0,NO,0,YES,2/5/2023 9:45,2/5/2023 13:54,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,VALVE,,,0,,2012,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,78,NO,0,11525,0,0,240,2.5,11765,0,0,0,0,NO,1696,40000,3200,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION IN STORAGE FIELD,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
3/3/2023,2023,ORIGINAL,4280,EL PASO NATURAL GAS CO,HOUSTON,TX,NATURAL GAS,5459,0,NO,0,NO,0,YES,2/5/2023 10:09,2/5/2023 11:03,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,VALVE,,,0,,2018,2017,CARBON STEEL,LEAK,,,OTHER,CLASS 1 LOCATION,NO,599,NO,0,14958,0,0,100,2.74,15058,0,0,0,0,NO,466,0,837,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",OTHER INCIDENT CAUSE,UNKNOWN,1
3/2/2023,2023,ORIGINAL,602,"ENABLE GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,590,12000,NO,0,NO,0,YES,2/4/2023 15:15,2/21/2023 8:00,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,36,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,20,KAISER STEEL,COAL TAR,NO,1968,UNKNOWN,CARBON STEEL,LEAK,,,OTHER,CLASS 1 LOCATION,NO,436,NO,0,1416,28800,395000,2500,2.4,427716,0,0,0,0,NO,790,110,1000,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",OTHER INCIDENT CAUSE,UNKNOWN,1
3/1/2023,2023,ORIGINAL,405,ANR PIPELINE CO,HOUSTON,TX,NATURAL GAS,6675,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,"ABOVEGROUND STORAGE, INCLUDING ASSOCIATED EQUIPMENT AND PIPING",VALVE,,,0,,UNKNOWN,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,,NO,0,23096,0,2000,0,3.46,145096,0,0,0,0,NO,1200,0,2000,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION IN STORAGE FIELD,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,1
3/2/2023,2023,SUPPLEMENTAL FINAL,405,ANR PIPELINE CO,HOUSTON,TX,NATURAL GAS,44000,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,VALVE,,,0,,2015,2015,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,830,NO,0,105600,0,500,2500,2.4,108600,0,0,0,0,NO,740,417000,858,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
2/22/2023,2023,SUPPLEMENTAL FINAL,3,ACADIAN GAS PIPELINE SYSTEM,HOUSTON,TX,NATURAL GAS,67,21000,NO,0,NO,0,YES,1/27/2023 15:00,2/11/2023 8:30,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,12,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",REPAIR SLEEVE OR CLAMP,,,0,,2013,2013,CARBON STEEL,LEAK,,,SEAL OR PACKING,CLASS 1 LOCATION,NO,430,NO,0,206,64680,325000,2000,3.08,391886,0,0,0,0,NO,840,70,970,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,1
2/22/2023,2023,SUPPLEMENTAL FINAL,31406,FRONTIER NATURAL GAS COMPANY,ELKIN,NC,NATURAL GAS,76656,0,NO,0,NO,0,NO,,,NO,OPERATIONAL CONTROL,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER PAVEMENT,,YES,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,6,UNKNOWN,EPOXY,NO,1999,UNKNOWN,CARBON STEEL,LEAK,,,CRACK,CLASS 3 LOCATION,YES,150,NO,7000,421608,0,63000,75000,5.5,566608,0,0,0,0,NO,550,20000,1000,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,GROUND PATROL BY OPERATOR OR ITS CONTRACTOR,"NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR NOT RELATED TO EXCAVATION AND NOT DUE TO MOTORIZED VEHICLE/EQUIPMENT DAMAGE,1
2/17/2023,2023,SUPPLEMENTAL FINAL,15518,PIEDMONT NATURAL GAS CO INC,CHARLOTTE,NC,NATURAL GAS,0.01,0,NO,0,NO,0,NO,,,NO,OPERATIONAL CONTROL,ONSHORE,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",VALVE,,,0,,1998,UNKNOWN,CARBON STEEL,LEAK,,,SEAL OR PACKING,CLASS 2 LOCATION,NO,137,NO,0,0,0,200000,5000,0.1,205000,0,0,0,0,NO,658,3300,900,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM EMERGENCY RESPONDER,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",1
2/15/2023,2023,ORIGINAL,5304,FLORIDA GAS TRANSMISSION CO,HOUSTON,TX,NATURAL GAS,102600,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,COMPRESSOR,,,0,,2000,2000,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,737,NO,0,400140,0,0,0,3.9,401140,0,0,0,0,NO,740,1100000,1268,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,1
2/10/2023,2023,ORIGINAL,31451,KINDER MORGAN TEXAS PIPELINE CO,HOUSTON,TX,NATURAL GAS,291.82,2360.3,NO,0,NO,0,YES,1/13/2023 9:47,1/14/2023 9:00,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER PAVEMENT,55,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,16,UNKNOWN,CTE (COAL TAR EPOXY),UNKNOWN,1957,UNKNOWN,CARBON STEEL,LEAK,,,PINHOLE,CLASS 3 LOCATION,YES,321,NO,0,1051,8497,215000,14000,3.6,258548,0,0,0,2,NO,640,94,650,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,OTHER,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",CORROSION FAILURE,EXTERNAL CORROSION,1
